,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
290,2,0,0,0,1,0,0,0,0,3
291,2,0,0,1,1,0,0,0,0,5
292,2,0,0,1,1,2,0,0,0,2
293,2,0,1,1,1,2,0,0,0,6
294,2,0,1,1,1,2,2,0,0,1
295,2,1,1,1,1,2,2,0,0,7
296,2,1,1,1,1,2,2,2,0,8
297,0,0,0,0,0,0,0,0,0,4
298,0,0,0,0,1,0,0,0,0,0
299,2,0,0,0,1,0,0,0,0,1
300,2,1,0,0,1,0,0,0,0,7
301,2,1,0,0,1,0,0,2,0,3
302,2,1,0,1,1,0,0,2,0,5
303,2,1,0,1,1,2,0,2,0,6
304,2,1,0,1,1,2,1,2,0,2
305,2,1,2,1,1,2,1,2,0,8
306,0,0,0,0,0,0,0,0,0,0
307,1,0,0,0,0,0,0,0,0,4
308,1,0,0,0,2,0,0,0,0,6
309,1,0,0,0,2,0,1,0,0,3
310,1,0,0,2,2,0,1,0,0,1
311,1,1,0,2,2,0,1,0,0,2
312,1,1,2,2,2,0,1,0,0,5
313,1,1,2,2,2,1,1,0,0,7
314,1,1,2,2,2,1,1,2,0,8
315,0,0,0,0,0,0,0,0,0,4
316,0,0,0,0,1,0,0,0,0,0
317,2,0,0,0,1,0,0,0,0,3
318,2,0,0,1,1,0,0,0,0,5
319,2,0,0,1,1,2,0,0,0,2
320,2,0,1,1,1,2,0,0,0,6
321,2,0,1,1,1,2,2,0,0,7
322,2,0,1,1,1,2,2,1,0,1
323,2,2,1,1,1,2,2,1,0,8
324,0,0,0,0,0,0,0,0,0,0
325,1,0,0,0,0,0,0,0,0,4
326,1,0,0,0,2,0,0,0,0,6
327,1,0,0,0,2,0,1,0,0,3
328,1,0,0,2,2,0,1,0,0,1
329,1,1,0,2,2,0,1,0,0,2
330,1,1,2,2,2,0,1,0,0,5
331,1,1,2,2,2,1,1,0,0,8
332,1,1,2,2,2,1,1,0,2,7
333,0,0,0,0,0,0,0,0,0,4
334,0,0,0,0,1,0,0,0,0,0
335,2,0,0,0,1,0,0,0,0,3
336,2,0,0,1,1,0,0,0,0,5
337,2,0,0,1,1,2,0,0,0,1
338,2,1,0,1,1,2,0,0,0,7
339,2,1,0,1,1,2,0,2,0,2
340,2,1,1,1,1,2,0,2,0,6
341,2,1,1,1,1,2,2,2,0,8
342,0,0,0,0,0,0,0,0,0,4
343,0,0,0,0,1,0,0,0,0,0
344,2,0,0,0,1,0,0,0,0,1
345,2,1,0,0,1,0,0,0,0,7
346,2,1,0,0,1,0,0,2,0,3
347,2,1,0,1,1,0,0,2,0,5
348,2,1,0,1,1,2,0,2,0,2
349,2,1,1,1,1,2,0,2,0,6
350,2,1,1,1,1,2,2,2,0,8
351,0,0,0,0,0,0,0,0,0,0
352,1,0,0,0,0,0,0,0,0,4
353,1,0,0,0,2,0,0,0,0,6
354,1,0,0,0,2,0,1,0,0,3
355,1,0,0,2,2,0,1,0,0,1
356,1,1,0,2,2,0,1,0,0,2
357,1,1,2,2,2,0,1,0,0,5
358,1,1,2,2,2,1,1,0,0,8
359,1,1,2,2,2,1,1,0,2,7
360,0,0,0,0,0,0,0,0,0,4
361,0,0,0,0,1,0,0,0,0,0
362,2,0,0,0,1,0,0,0,0,2
363,2,0,1,0,1,0,0,0,0,6
364,2,0,1,0,1,0,2,0,0,3
365,2,0,1,1,1,0,2,0,0,5
366,2,0,1,1,1,2,2,0,0,1
367,2,1,1,1,1,2,2,0,0,7
368,2,1,1,1,1,2,2,2,0,8
369,0,0,0,0,0,0,0,0,0,0
370,1,0,0,0,0,0,0,0,0,4
371,1,0,0,0,2,0,0,0,0,6
372,1,0,0,0,2,0,1,0,0,3
373,1,0,0,2,2,0,1,0,0,1
374,1,1,0,2,2,0,1,0,0,2
375,1,1,2,2,2,0,1,0,0,5
376,1,1,2,2,2,1,1,0,0,8
377,1,1,2,2,2,1,1,0,2,7
378,0,0,0,0,0,0,0,0,0,4
379,0,0,0,0,1,0,0,0,0,0
380,2,0,0,0,1,0,0,0,0,1
381,2,1,0,0,1,0,0,0,0,7
382,2,1,0,0,1,0,0,2,0,6
383,2,1,0,0,1,0,1,2,0,2
384,2,1,2,0,1,0,1,2,0,5
385,2,1,2,0,1,1,1,2,0,3
386,2,1,2,2,1,1,1,2,0,8
387,0,0,0,0,0,0,0,0,0,0
388,1,0,0,0,0,0,0,0,0,4
389,1,0,0,0,2,0,0,0,0,6
390,1,0,0,0,2,0,1,0,0,3
