,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
389,0,0,0,0,0,0,0,0,0,6
390,0,0,0,0,0,0,1,0,0,0
391,2,0,0,0,0,0,1,0,0,4
392,2,0,0,0,1,0,1,0,0,2
393,2,0,2,0,1,0,1,0,0,1
394,2,1,2,0,1,0,1,0,0,7
395,2,1,2,0,1,0,1,2,0,3
396,2,1,2,1,1,0,1,2,0,5
397,2,1,2,1,1,2,1,2,0,8
398,0,0,0,0,0,0,0,0,0,4
399,0,0,0,0,1,0,0,0,0,0
400,2,0,0,0,1,0,0,0,0,2
401,2,0,1,0,1,0,0,0,0,6
402,2,0,1,0,1,0,2,0,0,3
403,2,0,1,1,1,0,2,0,0,5
404,2,0,1,1,1,2,2,0,0,7
405,2,0,1,1,1,2,2,1,0,1
406,2,2,1,1,1,2,2,1,0,8
407,0,0,0,0,0,0,0,0,0,0
408,1,0,0,0,0,0,0,0,0,4
409,1,0,0,0,2,0,0,0,0,1
410,1,1,0,0,2,0,0,0,0,2
411,1,1,2,0,2,0,0,0,0,6
412,1,1,2,0,2,0,1,0,0,3
413,1,1,2,2,2,0,1,0,0,5
414,1,1,2,2,2,1,1,0,0,7
415,1,1,2,2,2,1,1,2,0,8
416,0,0,0,0,0,0,0,0,0,0
417,1,0,0,0,0,0,0,0,0,4
418,1,0,0,0,2,0,0,0,0,6
419,1,0,0,0,2,0,1,0,0,3
420,1,0,0,2,2,0,1,0,0,1
421,1,1,0,2,2,0,1,0,0,2
422,1,1,2,2,2,0,1,0,0,5
423,1,1,2,2,2,1,1,0,0,7
424,1,1,2,2,2,1,1,2,0,8
425,0,0,0,0,0,0,0,0,0,7
426,0,0,0,0,0,0,0,1,0,0
427,2,0,0,0,0,0,0,1,0,6
428,2,0,0,0,0,0,1,1,0,4
429,2,0,0,0,2,0,1,1,0,8
430,0,0,0,0,0,0,0,0,0,0
431,1,0,0,0,0,0,0,0,0,4
432,1,0,0,0,2,0,0,0,0,6
433,1,0,0,0,2,0,1,0,0,3
