,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
460,2,0,1,0,1,0,0,0,0,6
461,2,0,1,0,1,0,2,0,0,3
462,2,0,1,1,1,0,2,0,0,5
463,2,0,1,1,1,2,2,0,0,7
464,2,0,1,1,1,2,2,1,0,1
465,2,2,1,1,1,2,2,1,0,8
466,0,0,0,0,0,0,0,0,0,6
467,0,0,0,0,0,0,1,0,0,4
468,0,0,0,0,2,0,1,0,0,0
469,1,0,0,0,2,0,1,0,0,3
470,1,0,0,2,2,0,1,0,0,5
471,1,0,0,2,2,1,1,0,0,7
472,1,0,0,2,2,1,1,2,0,1
473,1,1,0,2,2,1,1,2,0,2
474,1,1,2,2,2,1,1,2,0,8
475,0,0,0,0,0,0,0,0,0,3
476,0,0,0,1,0,0,0,0,0,0
477,2,0,0,1,0,0,0,0,0,8
478,2,0,0,1,0,0,0,0,1,2
479,2,0,2,1,0,0,0,0,1,1
480,2,1,2,1,0,0,0,0,1,4
481,2,1,2,1,2,0,0,0,1,6
482,2,1,2,1,2,0,1,0,1,7
483,2,1,2,1,2,0,1,2,1,5
484,0,0,0,0,0,0,0,0,0,2
485,0,0,1,0,0,0,0,0,0,0
486,2,0,1,0,0,0,0,0,0,6
487,2,0,1,0,0,0,1,0,0,4
488,2,0,1,0,2,0,1,0,0,8
489,2,0,1,0,2,0,1,0,1,7
490,2,0,1,0,2,0,1,2,1,1
491,2,1,1,0,2,0,1,2,1,5
492,2,1,1,0,2,2,1,2,1,3
493,0,0,0,0,0,0,0,0,0,4
494,0,0,0,0,1,0,0,0,0,0
495,2,0,0,0,1,0,0,0,0,2
496,2,0,1,0,1,0,0,0,0,6
497,2,0,1,0,1,0,2,0,0,3
498,2,0,1,1,1,0,2,0,0,5
499,2,0,1,1,1,2,2,0,0,1
500,2,1,1,1,1,2,2,0,0,7
501,2,1,1,1,1,2,2,2,0,8
502,0,0,0,0,0,0,0,0,0,4
503,0,0,0,0,1,0,0,0,0,0
504,2,0,0,0,1,0,0,0,0,6
505,2,0,0,0,1,0,1,0,0,2
506,2,0,2,0,1,0,1,0,0,1
507,2,1,2,0,1,0,1,0,0,7
508,2,1,2,0,1,0,1,2,0,3
509,2,1,2,1,1,0,1,2,0,5
510,2,1,2,1,1,2,1,2,0,8
511,0,0,0,0,0,0,0,0,0,8
512,0,0,0,0,0,0,0,0,1,0
513,2,0,0,0,0,0,0,0,1,2
514,2,0,1,0,0,0,0,0,1,6
515,2,0,1,0,0,0,2,0,1,3
516,2,0,1,1,0,0,2,0,1,5
517,2,0,1,1,0,2,2,0,1,7
518,2,0,1,1,0,2,2,1,1,4
519,2,0,1,1,2,2,2,1,1,1
520,0,0,0,0,0,0,0,0,0,4
521,0,0,0,0,1,0,0,0,0,0
522,2,0,0,0,1,0,0,0,0,1
523,2,1,0,0,1,0,0,0,0,7
524,2,1,0,0,1,0,0,2,0,3
525,2,1,0,1,1,0,0,2,0,5
526,2,1,0,1,1,2,0,2,0,2
527,2,1,1,1,1,2,0,2,0,6
528,2,1,1,1,1,2,2,2,0,8
529,0,0,0,0,0,0,0,0,0,0
530,1,0,0,0,0,0,0,0,0,4
531,1,0,0,0,2,0,0,0,0,2
532,1,0,1,0,2,0,0,0,0,1
533,1,2,1,0,2,0,0,0,0,7
534,1,2,1,0,2,0,0,1,0,5
535,1,2,1,0,2,2,0,1,0,3
536,1,2,1,1,2,2,0,1,0,6
537,1,2,1,1,2,2,2,1,0,8
538,0,0,0,0,0,0,0,0,0,4
539,0,0,0,0,1,0,0,0,0,0
540,2,0,0,0,1,0,0,0,0,2
541,2,0,1,0,1,0,0,0,0,6
542,2,0,1,0,1,0,2,0,0,3
543,2,0,1,1,1,0,2,0,0,5
544,2,0,1,1,1,2,2,0,0,7
545,2,0,1,1,1,2,2,1,0,1
546,2,2,1,1,1,2,2,1,0,8
547,0,0,0,0,0,0,0,0,0,4
548,0,0,0,0,1,0,0,0,0,0
549,2,0,0,0,1,0,0,0,0,3
550,2,0,0,1,1,0,0,0,0,1
551,2,2,0,1,1,0,0,0,0,2
552,2,2,1,1,1,0,0,0,0,6
553,2,2,1,1,1,0,2,0,0,5
554,0,0,0,0,0,0,0,0,0,2
555,0,0,1,0,0,0,0,0,0,0
556,2,0,1,0,0,0,0,0,0,4
557,2,0,1,0,1,0,0,0,0,6
558,2,0,1,0,1,0,2,0,0,3
559,2,0,1,1,1,0,2,0,0,5
560,2,0,1,1,1,2,2,0,0,7
561,2,0,1,1,1,2,2,1,0,1
562,2,2,1,1,1,2,2,1,0,8
563,0,0,0,0,0,0,0,0,0,4
564,0,0,0,0,1,0,0,0,0,0
565,2,0,0,0,1,0,0,0,0,3
566,2,0,0,1,1,0,0,0,0,5
567,2,0,0,1,1,2,0,0,0,2
568,2,0,1,1,1,2,0,0,0,6
569,2,0,1,1,1,2,2,0,0,7
570,2,0,1,1,1,2,2,1,0,1
571,2,2,1,1,1,2,2,1,0,8
572,0,0,0,0,0,0,0,0,0,4
573,0,0,0,0,1,0,0,0,0,0
574,2,0,0,0,1,0,0,0,0,2
575,2,0,1,0,1,0,0,0,0,6
576,2,0,1,0,1,0,2,0,0,3
577,2,0,1,1,1,0,2,0,0,5
578,2,0,1,1,1,2,2,0,0,7
579,2,0,1,1,1,2,2,1,0,1
580,2,2,1,1,1,2,2,1,0,8
581,0,0,0,0,0,0,0,0,0,3
582,0,0,0,1,0,0,0,0,0,4
583,0,0,0,1,2,0,0,0,0,0
584,1,0,0,1,2,0,0,0,0,6
585,1,0,0,1,2,0,2,0,0,2
586,1,0,1,1,2,0,2,0,0,1
587,1,2,1,1,2,0,2,0,0,7
588,1,2,1,1,2,0,2,1,0,8
589,1,2,1,1,2,0,2,1,2,5
590,0,0,0,0,0,0,0,0,0,0
591,1,0,0,0,0,0,0,0,0,4
592,1,0,0,0,2,0,0,0,0,7
593,1,0,0,0,2,0,0,1,0,2
594,1,0,2,0,2,0,0,1,0,6
595,1,0,2,0,2,0,1,1,0,3
596,1,0,2,2,2,0,1,1,0,5
597,1,0,2,2,2,1,1,1,0,8
598,1,0,2,2,2,1,1,1,2,1
599,0,0,0,0,0,0,0,0,0,6
600,0,0,0,0,0,0,1,0,0,0
601,2,0,0,0,0,0,1,0,0,4
602,2,0,0,0,1,0,1,0,0,2
603,2,0,2,0,1,0,1,0,0,1
604,2,1,2,0,1,0,1,0,0,7
605,2,1,2,0,1,0,1,2,0,5
606,2,1,2,0,1,1,1,2,0,3
607,2,1,2,2,1,1,1,2,0,8
608,0,0,0,0,0,0,0,0,0,1
609,0,1,0,0,0,0,0,0,0,4
610,0,1,0,0,2,0,0,0,0,0
611,1,1,0,0,2,0,0,0,0,2
612,1,1,2,0,2,0,0,0,0,6
