,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
535,1,0,2,2,1,0,0,0,0,1,8
536,0,0,0,0,0,0,0,0,0,1,0
537,1,0,0,0,0,0,0,0,0,2,4
538,1,0,0,0,2,0,0,0,0,1,6
539,1,0,0,0,2,0,1,0,0,2,3
540,1,0,0,2,2,0,1,0,0,1,1
541,1,1,0,2,2,0,1,0,0,2,8
542,1,1,0,2,2,0,1,0,2,1,2
543,0,0,0,0,0,0,0,0,0,1,4
544,0,0,0,0,1,0,0,0,0,2,1
545,0,2,0,0,1,0,0,0,0,1,0
546,1,2,0,0,1,0,0,0,0,2,6
547,1,2,0,0,1,0,2,0,0,1,8
548,0,0,0,0,0,0,0,0,0,1,0
549,1,0,0,0,0,0,0,0,0,2,3
550,1,0,0,2,0,0,0,0,0,1,4
551,1,0,0,2,1,0,0,0,0,2,7
552,1,0,0,2,1,0,0,2,0,1,2
553,1,0,1,2,1,0,0,2,0,2,1
554,1,2,1,2,1,0,0,2,0,1,5
555,1,2,1,2,1,1,0,2,0,2,6
556,1,2,1,2,1,1,2,2,0,1,8
557,0,0,0,0,0,0,0,0,0,1,4
558,0,0,0,0,1,0,0,0,0,2,0
559,2,0,0,0,1,0,0,0,0,1,3
560,2,0,0,1,1,0,0,0,0,2,8
561,2,0,0,1,1,0,0,0,2,1,1
562,2,1,0,1,1,0,0,0,2,2,7
563,2,1,0,1,1,0,0,2,2,1,6
564,2,1,0,1,1,0,1,2,2,2,5
565,2,1,0,1,1,2,1,2,2,1,2
566,0,0,0,0,0,0,0,0,0,1,0
567,1,0,0,0,0,0,0,0,0,2,2
568,1,0,2,0,0,0,0,0,0,1,4
569,1,0,2,0,1,0,0,0,0,2,5
570,1,0,2,0,1,2,0,0,0,1,3
571,1,0,2,1,1,2,0,0,0,2,8
572,0,0,0,0,0,0,0,0,0,1,0
573,1,0,0,0,0,0,0,0,0,2,5
