,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
336,1,0,1,0,2,0,0,0,0,2,1
337,1,2,1,0,2,0,0,0,0,1,3
338,1,2,1,1,2,0,0,0,0,2,6
339,1,2,1,1,2,0,2,0,0,1,7
340,1,2,1,1,2,0,2,1,0,2,8
341,1,2,1,1,2,0,2,1,2,1,5
342,0,0,0,0,0,0,0,0,0,1,4
343,0,0,0,0,1,0,0,0,0,2,0
344,2,0,0,0,1,0,0,0,0,1,1
345,2,1,0,0,1,0,0,0,0,2,7
346,2,1,0,0,1,0,0,2,0,1,6
347,2,1,0,0,1,0,1,2,0,2,2
348,2,1,2,0,1,0,1,2,0,1,5
349,2,1,2,0,1,1,1,2,0,2,3
350,2,1,2,2,1,1,1,2,0,1,8
351,0,0,0,0,0,0,0,0,0,1,4
352,0,0,0,0,1,0,0,0,0,2,0
353,2,0,0,0,1,0,0,0,0,1,1
354,2,1,0,0,1,0,0,0,0,2,7
355,2,1,0,0,1,0,0,2,0,1,6
356,2,1,0,0,1,0,1,2,0,2,2
357,2,1,2,0,1,0,1,2,0,1,3
358,2,1,2,1,1,0,1,2,0,2,5
359,2,1,2,1,1,2,1,2,0,1,8
360,0,0,0,0,0,0,0,0,0,1,0
361,1,0,0,0,0,0,0,0,0,2,4
362,1,0,0,0,2,0,0,0,0,1,2
363,1,0,1,0,2,0,0,0,0,2,1
364,1,2,1,0,2,0,0,0,0,1,3
365,1,2,1,1,2,0,0,0,0,2,6
366,1,2,1,1,2,0,2,0,0,1,7
367,1,2,1,1,2,0,2,1,0,2,5
368,1,2,1,1,2,2,2,1,0,1,8
369,0,0,0,0,0,0,0,0,0,1,4
370,0,0,0,0,1,0,0,0,0,2,0
371,2,0,0,0,1,0,0,0,0,1,1
372,2,1,0,0,1,0,0,0,0,2,7
373,2,1,0,0,1,0,0,2,0,1,3
374,2,1,0,1,1,0,0,2,0,2,5
375,2,1,0,1,1,2,0,2,0,1,2
376,2,1,1,1,1,2,0,2,0,2,6
377,2,1,1,1,1,2,2,2,0,1,8
378,0,0,0,0,0,0,0,0,0,1,0
379,1,0,0,0,0,0,0,0,0,2,4
380,1,0,0,0,2,0,0,0,0,1,6
381,1,0,0,0,2,0,1,0,0,2,3
382,1,0,0,2,2,0,1,0,0,1,1
383,1,1,0,2,2,0,1,0,0,2,2
384,1,1,2,2,2,0,1,0,0,1,5
385,1,1,2,2,2,1,1,0,0,2,7
386,1,1,2,2,2,1,1,2,0,1,8
387,0,0,0,0,0,0,0,0,0,1,0
388,1,0,0,0,0,0,0,0,0,2,4
389,1,0,0,0,2,0,0,0,0,1,6
390,1,0,0,0,2,0,1,0,0,2,3
391,1,0,0,2,2,0,1,0,0,1,1
392,1,1,0,2,2,0,1,0,0,2,2
393,1,1,2,2,2,0,1,0,0,1,5
394,1,1,2,2,2,1,1,0,0,2,8
395,1,1,2,2,2,1,1,0,2,1,7
396,0,0,0,0,0,0,0,0,0,1,0
397,1,0,0,0,0,0,0,0,0,2,4
398,1,0,0,0,2,0,0,0,0,1,2
399,1,0,1,0,2,0,0,0,0,2,1
400,1,2,1,0,2,0,0,0,0,1,3
401,1,2,1,1,2,0,0,0,0,2,6
402,1,2,1,1,2,0,2,0,0,1,7
403,1,2,1,1,2,0,2,1,0,2,5
404,1,2,1,1,2,2,2,1,0,1,8
405,0,0,0,0,0,0,0,0,0,1,0
406,1,0,0,0,0,0,0,0,0,2,4
407,1,0,0,0,2,0,0,0,0,1,6
408,1,0,0,0,2,0,1,0,0,2,3
409,1,0,0,2,2,0,1,0,0,1,1
410,1,1,0,2,2,0,1,0,0,2,2
411,1,1,2,2,2,0,1,0,0,1,5
412,1,1,2,2,2,1,1,0,0,2,7
413,1,1,2,2,2,1,1,2,0,1,8
414,0,0,0,0,0,0,0,0,0,1,0
415,1,0,0,0,0,0,0,0,0,2,4
416,1,0,0,0,2,0,0,0,0,1,6
417,1,0,0,0,2,0,1,0,0,2,3
418,1,0,0,2,2,0,1,0,0,1,1
419,1,1,0,2,2,0,1,0,0,2,2
420,1,1,2,2,2,0,1,0,0,1,5
421,1,1,2,2,2,1,1,0,0,2,8
422,1,1,2,2,2,1,1,0,2,1,7
423,0,0,0,0,0,0,0,0,0,1,4
424,0,0,0,0,1,0,0,0,0,2,0
425,2,0,0,0,1,0,0,0,0,1,1
426,2,1,0,0,1,0,0,0,0,2,7
427,2,1,0,0,1,0,0,2,0,1,3
428,2,1,0,1,1,0,0,2,0,2,5
429,2,1,0,1,1,2,0,2,0,1,2
430,2,1,1,1,1,2,0,2,0,2,6
431,2,1,1,1,1,2,2,2,0,1,8
432,0,0,0,0,0,0,0,0,0,1,4
433,0,0,0,0,1,0,0,0,0,2,0
434,2,0,0,0,1,0,0,0,0,1,3
435,2,0,0,1,1,0,0,0,0,2,5
436,2,0,0,1,1,2,0,0,0,1,1
437,2,1,0,1,1,2,0,0,0,2,7
438,2,1,0,1,1,2,0,2,0,1,2
439,2,1,1,1,1,2,0,2,0,2,6
